idFonction,libelle,description,competences
1,Communications,China Beauty,enterprise
2,bricks-and-clicks quantifying mobile,Marketing neural fuchsia,THX Executive
3,plum input,Home Loan Account,Route
4,white impactful Soft,compressing,invoice help-desk
5,Concrete,deposit,Orchestrator Avon cross-platform
6,Supervisor incubate Avon,Investment Account world-class Officer,solutions metrics web-enabled
7,deposit Auto Loan Account,scalable,ROI Delaware
8,Usability,Secured calculating Gorgeous Rubber Hat,Accountability capacitor Greece
9,Human Investor,Netherlands Coordinator,Creative XML initiative
10,Product global grey,Open-source driver,calculating Orchestrator
